Class,Precision,Recall,F1 Score,Support
Abuse,0.5,0.4,0.4444444444444444,10
Arrest,0.0,0.0,0.0,10
Arson,0.5,0.2,0.2857142857142857,10
Assault,0.0,0.0,0.0,10
Burglary,0.25,0.1,0.14285714285714285,20
Explosion,0.125,0.1,0.1111111111111111,10
Fighting,0.2857142857142857,0.4,0.3333333333333333,10
Normal,0.3333333333333333,0.4,0.36363636363636365,10
RoadAccidents,0.35714285714285715,0.6666666666666666,0.46511627906976744,30
Robbery,0.5135135135135135,0.6333333333333333,0.5671641791044776,30
Shooting,0.0,0.0,0.0,10
Shoplifting,0.0,0.0,0.0,4
Stealing,0.45,0.45,0.45,20
Vandalism,0.21428571428571427,0.3,0.25,10
