,Abuse,Arrest,Arson,Assault,Burglary,Explosion,Fighting,Normal,RoadAccidents,Robbery,Shooting,Shoplifting,Stealing,Vandalism
Abuse,3,1,1,2,0,1,1,0,0,0,0,0,0,1
Arrest,2,0,0,1,0,0,1,1,0,3,2,0,0,0
Arson,1,0,3,0,0,0,1,1,1,0,0,0,3,0
Assault,0,0,2,1,0,0,1,0,1,4,0,0,1,0
Burglary,1,1,0,0,1,3,0,2,0,8,0,1,2,1
Explosion,0,0,1,0,1,3,0,0,3,1,0,0,1,0
Fighting,1,0,0,2,0,0,1,0,0,6,0,0,0,0
Normal,0,0,0,0,0,1,0,3,1,3,0,0,1,1
RoadAccidents,0,1,0,4,0,2,1,0,12,2,0,0,5,3
Robbery,1,1,0,3,1,0,0,0,0,23,0,0,1,0
Shooting,0,0,1,0,1,1,0,1,1,2,0,1,2,0
Shoplifting,0,0,0,0,0,0,0,1,0,2,0,0,1,0
Stealing,0,0,3,2,0,0,2,0,5,1,0,0,7,0
Vandalism,0,0,3,1,0,1,1,0,0,2,0,1,1,0
