Class,Precision,Recall,F1 Score,Support
Abuse,0.3333333333333333,0.3,0.3157894736842105,10
Arrest,0.0,0.0,0.0,10
Arson,0.21428571428571427,0.3,0.25,10
Assault,0.0625,0.1,0.07692307692307693,10
Burglary,0.25,0.05,0.08333333333333333,20
Explosion,0.25,0.3,0.2727272727272727,10
Fighting,0.1111111111111111,0.1,0.10526315789473684,10
Normal,0.3333333333333333,0.3,0.3157894736842105,10
RoadAccidents,0.5,0.4,0.4444444444444444,30
Robbery,0.40350877192982454,0.7666666666666667,0.5287356321839081,30
Shooting,0.0,0.0,0.0,10
Shoplifting,0.0,0.0,0.0,4
Stealing,0.28,0.35,0.3111111111111111,20
Vandalism,0.0,0.0,0.0,10
